Feature,Mean |SHAP|
Intra-DA MAG Variability,0.871926
Residential Instability,0.69974905
Situational Vulnerability,0.41723108
Economic Dependency,0.35747862
Ethno-cultural Composition,0.2894489
Block Count (DA size),0.2807023
